GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
gs-spring-boot,hello,HelloController,0,5,0,0,0,2,0,2,0,2
gs-spring-boot,hello,Application,32,3,2,0,7,1,2,1,1,1
